"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"experiment1"
"04/06/2017 13:49:04:546 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"4","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1581.4477272727272","149","0.06862072345848447"
"1","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1777.0795454545455","147","0.06862072345848447"
"3","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","2028.5977272727273","157","0.06862072345848447"
"2","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","913.8727272727273","143","0.06862072345848447"
"6","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1773.575","165","0.06862072345848447"
"5","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1772.9454545454546","148","0.06862072345848447"
"7","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1476.8636363636363","166","0.06862072345848447"
"8","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1584.0977272727273","163","0.06862072345848447"
"9","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1662.1204545454545","148","0.06862072345848447"
"10","32","20","2.5","100","7","false","0.1","0.5","700","100","10201","1876.418181818182","139","0.06862072345848447"
"11","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1946.971590909091","137","0.06862072345848447"
"12","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1844.1977272727272","138","0.06862072345848447"
"13","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1496.1136363636363","154","0.06862072345848447"
"14","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1349.9125","159","0.06862072345848447"
"15","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","2125.9693181818184","131","0.06862072345848447"
"16","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1634.2227272727273","136","0.06862072345848447"
"17","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1727.0704545454546","174","0.06862072345848447"
"18","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","2199.455681818182","156","0.06862072345848447"
"19","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1653.740909090909","136","0.06862072345848447"
"21","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1621.4636363636364","160","0.06862072345848447"
"20","32","20","2.5","100","7","false","0.15","0.5","700","100","10201","1383.0590909090909","178","0.06862072345848447"
"22","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","2342.909090909091","147","0.06862072345848447"
"23","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1620.2818181818182","142","0.06862072345848447"
"24","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1720.6863636363637","146","0.06862072345848447"
"25","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1235.3727272727272","140","0.06862072345848447"
"26","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","2200.1318181818183","155","0.06862072345848447"
"27","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1174.081818181818","157","0.06862072345848447"
"28","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1702.1136363636363","149","0.06862072345848447"
"29","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1703.6318181818183","153","0.06862072345848447"
"30","32","20","2.5","100","7","false","0.2","0.5","700","100","10201","1478.6818181818182","162","0.06862072345848447"
"31","32","20","2.5","100","7","false","0.25","0.5","700","100","10201","1150.4147727272727","146","0.06862072345848447"
"32","32","20","2.5","100","7","false","0.25","0.5","700","100","10201","2018.3011363636363","151","0.06862072345848447"
