"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"vary_Nlinks"
"05/12/2017 15:10:17:362 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"4","32","20","2.5","100","2","true","0.4","0.3","50","100","10090.900000000003","303.1454545454545","3","0.004943593597057571"
"2","32","20","2.5","100","2","true","0.4","0.3","50","100","10086.100000000006","300.53636363636366","0","0.004946283362681277"
"3","32","20","2.5","100","2","true","0.4","0.3","50","100","10030.000000000007","302.3545454545455","5","0.004995703694822452"
"1","32","20","2.5","100","2","true","0.4","0.3","50","100","10121.399999999981","306.5409090909091","3","0.004952260211560561"
"6","32","20","2.5","100","2","true","0.4","0.3","50","100","10116.799999999997","307.24545454545455","6","0.004934518933749151"
"5","32","20","2.5","100","2","true","0.4","0.3","50","100","10105.39999999999","306.4227272727273","4","0.004953683063357599"
"7","32","20","2.5","100","2","true","0.4","0.3","50","100","10016.60000000002","305.3681818181818","7","0.004952652640754383"
"8","32","20","2.5","100","2","true","0.4","0.3","50","100","10045.999999999996","302.7772727272727","10","0.004975322400891573"
"9","32","20","2.5","100","2","true","0.4","0.3","50","100","10009.799999999974","305.46363636363634","5","0.005008614817486078"
"10","32","20","2.5","100","2","true","0.4","0.3","50","100","10031.799999999994","300.9136363636364","4","0.004977105315548473"
"11","32","20","2.5","100","3","true","0.4","0.3","50","100","9962.699999999984","303.3636363636364","5","0.005003852966784421"
"12","32","20","2.5","100","3","true","0.4","0.3","50","100","10062.399999999976","308.1272727272727","5","0.004980426922195765"
"13","32","20","2.5","100","3","true","0.4","0.3","50","100","9953.50000000001","305.8727272727273","9","0.005028309381819625"
"14","32","20","2.5","100","3","true","0.4","0.3","50","100","9946.499999999989","299.02272727272725","5","0.0050189717130754265"
"15","32","20","2.5","100","3","true","0.4","0.3","50","100","9950.499999999998","300.6272727272727","3","0.0050320541851594566"
"16","32","20","2.5","100","3","true","0.4","0.3","50","100","9840.999999999955","302.15","5","0.005085280148083357"
"17","32","20","2.5","100","3","true","0.4","0.3","50","100","9936.500000000002","302.1409090909091","4","0.0050190220937352484"
