"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"vary_demage"
"05/12/2017 15:16:57:453 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"3","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","302.3625","7","0.004901480247034604"
"4","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","308.1102272727273","7","0.004901480247034604"
"1","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","304.0625","7","0.004901480247034604"
"2","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","306.10795454545456","5","0.004901480247034604"
"5","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","308.82272727272726","5","0.004901480247034604"
"7","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","306.5625","4","0.004901480247034604"
"8","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","300.5204545454545","4","0.004901480247034604"
"6","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","307.725","3","0.004901480247034604"
"11","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","305.13863636363635","11","0.004901480247034604"
"9","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","305.5238636363636","6","0.004901480247034604"
"10","32","20","2.5","100","4","false","0.05","0.5","50","100","10201","305.7079545454545","3","0.004901480247034604"
"12","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","304.8636363636364","3","0.004901480247034604"
"13","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","310.7681818181818","6","0.004901480247034604"
"15","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","307.2227272727273","5","0.004901480247034604"
"14","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","306.60227272727275","6","0.004901480247034604"
"16","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","307.7909090909091","7","0.004901480247034604"
"17","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","302.87954545454545","6","0.004901480247034604"
"18","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","299.65909090909093","7","0.004901480247034604"
"19","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","303.97727272727275","4","0.004901480247034604"
"20","32","20","2.5","100","4","false","0.1","0.5","50","100","10201","305.72727272727275","4","0.004901480247034604"
"21","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","304.76022727272726","4","0.004901480247034604"
"22","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","309.3","11","0.004901480247034604"
"23","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","303.0863636363636","1","0.004901480247034604"
"24","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","307.32954545454544","5","0.004901480247034604"
"25","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","305.4159090909091","11","0.004901480247034604"
"27","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","309.4352272727273","6","0.004901480247034604"
"26","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","309.79318181818184","5","0.004901480247034604"
"28","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","305.97727272727275","5","0.004901480247034604"
"29","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","307.4534090909091","9","0.004901480247034604"
"30","32","20","2.5","100","4","false","0.15","0.5","50","100","10201","302.48636363636365","4","0.004901480247034604"
"31","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","307.1545454545454","7","0.004901480247034604"
"32","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","309.96363636363634","11","0.004901480247034604"
"33","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","302.1227272727273","5","0.004901480247034604"
"34","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","305.52272727272725","7","0.004901480247034604"
"35","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","300.23636363636365","1","0.004901480247034604"
"36","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","309.20454545454544","5","0.004901480247034604"
"37","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","303.41818181818184","5","0.004901480247034604"
"38","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","300.26363636363635","5","0.004901480247034604"
"39","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","299.41818181818184","7","0.004901480247034604"
"40","32","20","2.5","100","4","false","0.2","0.5","50","100","10201","298.3772727272727","5","0.004901480247034604"
"41","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","303.79545454545456","5","0.004901480247034604"
"42","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","305.4943181818182","3","0.004901480247034604"
"43","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","309.22727272727275","4","0.004901480247034604"
"44","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","307.22159090909093","5","0.004901480247034604"
"45","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","306.47727272727275","5","0.004901480247034604"
"46","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","307.40909090909093","9","0.004901480247034604"
"49","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","299.96022727272725","3","0.004901480247034604"
"47","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","308.1136363636364","2","0.004901480247034604"
"48","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","305.4375","2","0.004901480247034604"
"50","32","20","2.5","100","4","false","0.25","0.5","50","100","10201","307.72159090909093","6","0.004901480247034604"
"51","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","306.5568181818182","7","0.004901480247034604"
"52","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","300.9795454545455","5","0.004901480247034604"
"53","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","302.7659090909091","5","0.004901480247034604"
"54","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","304.8772727272727","9","0.004901480247034604"
"55","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","306.0772727272727","3","0.004901480247034604"
"56","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","306.2477272727273","6","0.004901480247034604"
"57","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","303.67045454545456","2","0.004901480247034604"
"58","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","306.025","9","0.004901480247034604"
"59","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","307.7522727272727","2","0.004901480247034604"
"60","32","20","2.5","100","4","false","0.3","0.5","50","100","10201","308.71590909090907","7","0.004901480247034604"
"61","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","302.85","8","0.004901480247034604"
"62","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","307.6340909090909","4","0.004901480247034604"
"63","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","305.05454545454546","3","0.004901480247034604"
"64","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","307.15909090909093","7","0.004901480247034604"
"65","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","301.9625","7","0.004901480247034604"
"66","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","298.5659090909091","5","0.004901480247034604"
"67","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","308.3568181818182","8","0.004901480247034604"
"68","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","305.08863636363634","4","0.004901480247034604"
"69","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","303.5556818181818","5","0.004901480247034604"
"70","32","20","2.5","100","4","false","0.35","0.5","50","100","10201","311.0534090909091","5","0.004901480247034604"
"71","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","308.71363636363634","3","0.004901480247034604"
"72","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","307.07272727272726","3","0.004901480247034604"
"73","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","301.8590909090909","4","0.004901480247034604"
"74","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","304.41818181818184","10","0.004901480247034604"
"75","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","304.82272727272726","2","0.004901480247034604"
"76","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","306.75","11","0.004901480247034604"
"77","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","306.20454545454544","5","0.004901480247034604"
"78","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","304.18636363636364","5","0.004901480247034604"
"79","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","301.01363636363635","7","0.004901480247034604"
"80","32","20","2.5","100","4","false","0.4","0.5","50","100","10201","302.49545454545455","2","0.004901480247034604"
"81","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","307.3159090909091","7","0.004901480247034604"
"83","32","20","2.5","100","4","false","0.45","0.5","50","100","10199.2","301.34659090909093","7","0.004902489484160056"
"82","32","20","2.5","100","4","false","0.45","0.5","50","100","10193.199999999999","304.4193181818182","5","0.004905856611622955"
"84","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","305.8840909090909","6","0.004901480247034604"
"85","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","308.0840909090909","5","0.004901480247034604"
"86","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","307.03409090909093","7","0.004901480247034604"
"87","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","303.57954545454544","6","0.004901480247034604"
"88","32","20","2.5","100","4","false","0.45","0.5","50","100","10196.599999999999","304.30227272727274","7","0.004904509205763777"
"89","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","304.0954545454546","1","0.004901480247034604"
"90","32","20","2.5","100","4","false","0.45","0.5","50","100","10201","306.00113636363636","8","0.004901480247034604"
"91","32","20","2.5","100","4","false","0.5","0.5","50","100","10200.7","310.97727272727275","4","0.004901720503896868"
"92","32","20","2.5","100","4","false","0.5","0.5","50","100","10201","307.625","4","0.004901480247034604"
"94","32","20","2.5","100","4","false","0.5","0.5","50","100","10201","309.1818181818182","5","0.004901480247034604"
"93","32","20","2.5","100","4","false","0.5","0.5","50","100","10197.199999999999","310.06136363636364","3","0.004903066377712621"
"95","32","20","2.5","100","4","false","0.5","0.5","50","100","10198.8","307.60227272727275","14","0.004902922141596391"
"96","32","20","2.5","100","4","false","0.5","0.5","50","100","10198.8","303.07954545454544","4","0.004902825988900001"
"97","32","20","2.5","100","4","false","0.5","0.5","50","100","10195.900000000003","303.9931818181818","12","0.0049040281687378"
"98","32","20","2.5","100","4","false","0.5","0.5","50","100","10198.899999999998","305.6931818181818","3","0.004903306790099244"
"99","32","20","2.5","100","4","false","0.5","0.5","50","100","10201","307.54545454545456","8","0.004901480247034604"
"100","32","20","2.5","100","4","false","0.5","0.5","50","100","10201","303.75","4","0.004901480247034604"
"101","32","20","2.5","100","4","false","0.55","0.5","50","100","10201","306.1556818181818","7","0.004901480247034604"
"103","32","20","2.5","100","4","false","0.55","0.5","50","100","10186","306.5443181818182","6","0.004908216354176892"
"102","32","20","2.5","100","4","false","0.55","0.5","50","100","10186.400000000001","303.7556818181818","1","0.004911543108613864"
"104","32","20","2.5","100","4","false","0.55","0.5","50","100","10201","307.1136363636364","3","0.004901480247034604"
"105","32","20","2.5","100","4","false","0.55","0.5","50","100","10193.199999999997","309.2318181818182","2","0.004905856611622955"
"106","32","20","2.5","100","4","false","0.55","0.5","50","100","10187.899999999996","304.0693181818182","7","0.004908264535825422"
"107","32","20","2.5","100","4","false","0.55","0.5","50","100","10201","308.4443181818182","6","0.004902104963871488"
"108","32","20","2.5","100","4","false","0.55","0.5","50","100","10201","303.03636363636366","10","0.004901480247034604"
"109","32","20","2.5","100","4","false","0.55","0.5","50","100","10201","301.1034090909091","6","0.004901480247034604"
"110","32","20","2.5","100","4","false","0.55","0.5","50","100","10201","306.32045454545454","3","0.004901480247034604"
"111","32","20","2.5","100","4","false","0.6","0.5","50","100","10201","305.4318181818182","8","0.004901480247034604"
"112","32","20","2.5","100","4","false","0.6","0.5","50","100","10183.699999999992","308.07272727272726","7","0.00491192911103907"
"113","32","20","2.5","100","4","false","0.6","0.5","50","100","10196.999999999993","302.6272727272727","2","0.004904942219780651"
"114","32","20","2.5","100","4","false","0.6","0.5","50","100","10140.499999999996","303.9909090909091","5","0.004929896866557548"
"116","32","20","2.5","100","4","false","0.6","0.5","50","100","10199.699999999999","299.8863636363636","10","0.0049027779139660535"
"115","32","20","2.5","100","4","false","0.6","0.5","50","100","10196.799999999994","307.75","3","0.0049051346949987255"
"117","32","20","2.5","100","4","false","0.6","0.5","50","100","10194.699999999997","305.6227272727273","11","0.004906482444605814"
"118","32","20","2.5","100","4","false","0.6","0.5","50","100","10172.199999999999","303.97727272727275","6","0.004909565798000823"
"119","32","20","2.5","100","4","false","0.6","0.5","50","100","10187.199999999993","310.6136363636364","3","0.004911060690888019"
"120","32","20","2.5","100","4","false","0.6","0.5","50","100","10192.400000000001","307.2590909090909","2","0.0049073492462311545"
"121","32","20","2.5","100","4","false","0.65","0.5","50","100","10133.599999999984","302.74545454545455","4","0.004936321453253034"
"122","32","20","2.5","100","4","false","0.65","0.5","50","100","10179.199999999999","298.5329545454546","2","0.004912411699399701"
"123","32","20","2.5","100","4","false","0.65","0.5","50","100","10184.3","304.9159090909091","5","0.004909324771470931"
"124","32","20","2.5","100","4","false","0.65","0.5","50","100","10161.499999999993","306.34659090909093","8","0.004922228785193936"
"125","32","20","2.5","100","4","false","0.65","0.5","50","100","10170.7","302.7147727272727","5","0.004912266912934981"
"126","32","20","2.5","100","4","false","0.65","0.5","50","100","10155.199999999995","304.67954545454546","6","0.004924555805066383"
"127","32","20","2.5","100","4","false","0.65","0.5","50","100","10169.299999999997","299.6727272727273","4","0.004909855061078596"
"128","32","20","2.5","100","4","false","0.65","0.5","50","100","10186.3","306.3375","4","0.004910481914695107"
"129","32","20","2.5","100","4","false","0.65","0.5","50","100","10199.699999999999","306.5068181818182","3","0.004902585623657917"
"130","32","20","2.5","100","4","false","0.65","0.5","50","100","10192.5","307.87386363636364","1","0.004904701646998813"
"131","32","20","2.5","100","4","false","0.7","0.5","50","100","10180.100000000002","299.9136363636364","4","0.004907927284149358"
"132","32","20","2.5","100","4","false","0.7","0.5","50","100","10184.600000000002","301.7659090909091","7","0.004904845987835982"
"133","32","20","2.5","100","4","false","0.7","0.5","50","100","10167.799999999994","305.28409090909093","4","0.004921405159601169"
"134","32","20","2.5","100","4","false","0.7","0.5","50","100","10169.599999999999","306.6818181818182","6","0.004916372503711859"
"135","32","20","2.5","100","4","false","0.7","0.5","50","100","10201","301.28636363636366","2","0.004901816613236866"
"136","32","20","2.5","100","4","false","0.7","0.5","50","100","10176.099999999999","303.21590909090907","10","0.004915599162381903"
"137","32","20","2.5","100","4","false","0.7","0.5","50","100","10178.199999999995","310.6909090909091","3","0.0049141981011538525"
"138","32","20","2.5","100","4","false","0.7","0.5","50","100","10182.299999999997","301.10227272727275","5","0.004914584521024593"
"139","32","20","2.5","100","4","false","0.7","0.5","50","100","10183.199999999995","301.50454545454545","8","0.004912266912934983"
"141","32","20","2.5","100","4","false","0.75","0.5","50","100","10173.89999999999","310.00454545454545","5","0.00491733952262468"
"140","32","20","2.5","100","4","false","0.7","0.5","50","100","10170.099999999991","306.0090909090909","8","0.0049213082805933134"
"142","32","20","2.5","100","4","false","0.75","0.5","50","100","10150.900000000001","306.7375","3","0.004926739385339991"
"143","32","20","2.5","100","4","false","0.75","0.5","50","100","10157.3","304.9102272727273","5","0.00492421631097411"
"144","32","20","2.5","100","4","false","0.75","0.5","50","100","10191.499999999998","302.45454545454544","5","0.004908168173474297"
"145","32","20","2.5","100","4","false","0.75","0.5","50","100","10180.799999999997","303.3284090909091","5","0.004912653029141855"
"146","32","20","2.5","100","4","false","0.75","0.5","50","100","10161.2","304.70113636363635","5","0.004917097732234526"
"147","32","20","2.5","100","4","false","0.75","0.5","50","100","10162.299999999996","307.21363636363634","3","0.004921695819511569"
"148","32","20","2.5","100","4","false","0.75","0.5","50","100","10146.8","299.9556818181818","11","0.004931987887037749"
"149","32","20","2.5","100","4","false","0.75","0.5","50","100","10150.599999999999","308.4670454545454","6","0.00492460430804385"
"150","32","20","2.5","100","4","false","0.75","0.5","50","100","10146.399999999992","308.3193181818182","4","0.004929410836816787"
"151","32","20","2.5","100","4","false","0.8","0.5","50","100","10176.899999999998","305.5954545454546","7","0.004915019316025912"
"152","32","20","2.5","100","4","false","0.8","0.5","50","100","10152.899999999998","305.27272727272725","4","0.004918984328115931"
"153","32","20","2.5","100","4","false","0.8","0.5","50","100","10156.799999999987","304.2090909090909","12","0.00492576866620036"
"154","32","20","2.5","100","4","false","0.8","0.5","50","100","10132.700000000004","303.4909090909091","3","0.004930334375277328"
"155","32","20","2.5","100","4","false","0.8","0.5","50","100","10174.6","304.79545454545456","4","0.004915309222103163"
"156","32","20","2.5","100","4","false","0.8","0.5","50","100","10151.599999999995","300.8","3","0.004928099035078208"
"157","32","20","2.5","100","4","false","0.8","0.5","50","100","10175.999999999995","301.2318181818182","5","0.00491671091706492"
"158","32","20","2.5","100","4","false","0.8","0.5","50","100","10200","304.5863636363636","2","0.004902249151910897"
"160","32","20","2.5","100","4","false","0.8","0.5","50","100","10135.799999999997","304.8681818181818","3","0.004932036536526661"
"159","32","20","2.5","100","4","false","0.8","0.5","50","100","10148.000000000002","301.0181818181818","7","0.004926011310121965"
"161","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","305.7022727272727","4","0.004901480247034604"
"162","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","308.85","10","0.004901480247034604"
"164","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","305.6670454545455","2","0.004901480247034604"
"163","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","305.6193181818182","2","0.004901480247034604"
"165","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","308.275","6","0.004901480247034604"
"166","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","310.2375","5","0.004901480247034604"
"167","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","312.53977272727275","4","0.004901480247034604"
"168","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","304.49204545454546","7","0.004901480247034604"
"169","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","302.3534090909091","8","0.004901480247034604"
"170","32","20","2.5","100","4","true","0.05","0.5","50","100","10201","306.67954545454546","11","0.004901480247034604"
"171","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","305.8568181818182","5","0.004901480247034604"
"172","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","302.43863636363636","5","0.004901480247034604"
"174","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","303.5","4","0.004901480247034604"
"173","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","309.83863636363634","7","0.004901480247034604"
"175","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","304.975","6","0.004901480247034604"
"176","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","310.9068181818182","6","0.004901480247034604"
"177","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","308.7818181818182","2","0.004901480247034604"
"178","32","20","2.5","100","4","true","0.1","0.5","50","100","10201","300.41818181818184","2","0.004901480247034604"
