"BehaviorSpace results (NetLogo 5.2.1)"
"Risk_Attack_model.nlogo"
"vary_distance_btw_farmers"
"05/12/2017 15:12:24:357 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","farm-size","distance-btw-households","price","Number-of-Farmers","average-node-degree","social-influence","damage","labor_fencing","N","[step]","sum [domain] of patches","mean [income] of farmers","sum [count_total_attacks] of farmers","N / A"
"2","32","6","2.5","100","4","true","0.4","0.3","50","100","9914.299999999972","306.8272727272727","4","0.0050707882033183115"
"3","32","6","2.5","100","4","true","0.4","0.3","50","100","9886.799999999963","304.53636363636366","5","0.005085228428461009"
"4","32","6","2.5","100","4","true","0.4","0.3","50","100","9940.399999999956","306.9909090909091","4","0.005054487373890539"
"1","32","6","2.5","100","4","true","0.4","0.3","50","100","9880.199999999983","302.9227272727273","7","0.005092686901609285"
"6","32","6","2.5","100","4","true","0.4","0.3","50","100","9876.899999999921","306.1409090909091","3","0.00508983559831017"
"5","32","6","2.5","100","4","true","0.4","0.3","50","100","9949.399999999967","307.6727272727273","4","0.005050198977839718"
"7","32","6","2.5","100","4","true","0.4","0.3","50","100","9951.69999999999","308.0090909090909","3","0.0050497399383931585"
"8","32","6","2.5","100","4","true","0.4","0.3","50","100","9784.599999999966","298.8954545454545","2","0.00513073102655668"
"9","32","6","2.5","100","4","true","0.4","0.3","50","100","9829.899999999983","310.2318181818182","2","0.0051203277009728545"
"10","32","6","2.5","100","4","true","0.4","0.3","50","100","9896.299999999945","307.9909090909091","5","0.005079442480393355"
"11","32","8","2.5","100","4","true","0.4","0.3","50","100","9876.099999999948","303.93636363636364","4","0.005087142755399992"
"12","32","8","2.5","100","4","true","0.4","0.3","50","100","9784.999999999949","304.03636363636366","3","0.0051397497969798735"
"13","32","8","2.5","100","4","true","0.4","0.3","50","100","9931.999999999945","304.08181818181816","4","0.0050401701561444716"
"14","32","8","2.5","100","4","true","0.4","0.3","50","100","9909.799999999916","302.0090909090909","2","0.005075987533374628"
"15","32","8","2.5","100","4","true","0.4","0.3","50","100","9924.499999999955","300.35","6","0.005065188982200925"
"16","32","8","2.5","100","4","true","0.4","0.3","50","100","9939.399999999981","307.3","6","0.005063855214251695"
"17","32","8","2.5","100","4","true","0.4","0.3","50","100","9948.699999999955","302.8818181818182","7","0.005031851620759411"
"18","32","8","2.5","100","4","true","0.4","0.3","50","100","9775.499999999942","303.1","5","0.00512820512820512"
"19","32","8","2.5","100","4","true","0.4","0.3","50","100","9942.699999999975","307.02272727272725","5","0.005042711768680725"
"20","32","8","2.5","100","4","true","0.4","0.3","50","100","9793.999999999973","303.5681818181818","3","0.005106834987947861"
"21","32","10","2.5","100","4","true","0.4","0.3","50","100","9982.19999999994","302.2772727272727","3","0.005021088572002416"
"22","32","10","2.5","100","4","true","0.4","0.3","50","100","9908.299999999977","302.05","2","0.005063291139240493"
"23","32","10","2.5","100","4","true","0.4","0.3","50","100","9794.89999999995","297.7227272727273","9","0.005117654885825113"
"24","32","10","2.5","100","4","true","0.4","0.3","50","100","9879.699999999959","303.71363636363634","6","0.00508145573543909"
"25","32","10","2.5","100","4","true","0.4","0.3","50","100","9810.799999999961","304.54545454545456","3","0.005114513967737633"
"26","32","10","2.5","100","4","true","0.4","0.3","50","100","9798.59999999997","302.8636363636364","6","0.005100947756093061"
"27","32","10","2.5","100","4","true","0.4","0.3","50","100","9911.199999999975","304.96363636363634","8","0.005053772135521945"
"29","32","10","2.5","100","4","true","0.4","0.3","50","100","9966.69999999996","306.5090909090909","7","0.005042508345351296"
"28","32","10","2.5","100","4","true","0.4","0.3","50","100","9753.699999999999","297.1545454545454","3","0.0051245259813467075"
"31","32","12","2.5","100","4","true","0.4","0.3","50","100","9599.59999999997","298.9681818181818","5","0.0052134381581965495"
"30","32","10","2.5","100","4","true","0.4","0.3","50","100","9560.199999999957","300.65909090909093","5","0.0052349443001926356"
"32","32","12","2.5","100","4","true","0.4","0.3","50","100","9842.799999999948","296.3727272727273","1","0.005084556169092004"
"33","32","12","2.5","100","4","true","0.4","0.3","50","100","9907.999999999998","303.9227272727273","5","0.005033472592741733"
"34","32","12","2.5","100","4","true","0.4","0.3","50","100","9809.199999999939","306.03636363636366","3","0.00511566518994464"
"36","32","12","2.5","100","4","true","0.4","0.3","50","100","9883.499999999933","306.20454545454544","5","0.005075575316462123"
